Time Stamp,T_comp1_dis (K),T_comp2_dis (K),P_cond (Pa),P_evap (Pa),T_comp_suc (K),target_eta,target_eta2,h_comp_suc (j/kg),h_comp1_dis (j/kg),h_comp2_dis (j/kg),h_isen (j/kg),eta_isentropic_1,eta_isentropic_2,eta1_condition,eta2_condition,comp1_mech_power,comp2_mech_power,m_comp1,m_comp2,m_total,T_evap_ex (K),T_subcooling (K),h_evap_ex (j/kg),h_evap_in (j/kg),cooling_load (KW),Total_electric_power (KW),COP
2024-07-27 10:31:00,325.0,327.0,1830000.0,950000.0,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,3.0510343714494974,2.9031291526372263,True,True,0.0,0.0,0.0,0.0,0.0,302.0,304.0,448017.6856604928,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:32:00,336.25,330.25,1830000.0,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,0.9785066736293396,1.5436470515156284,True,True,0.0,0.0,0.0,0.0,0.0,296.26666666666665,304.0,441491.55222910875,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:32:00,321.0,278.0,1830000.0,1550000.0,303.0,0.75,0,436969.9954181494,451567.61529893876,438545.00444890035,438151.2521912126,0.08092119007823746,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.3,304.0,446291.2177136102,429755.6433147915,0.0,0.045,0.0
2024-07-27 10:32:00,328.5,328.0,1880000.0,1150000.0,304.0,0.75,0,451379.09561826853,463919.1210910371,463919.1210910371,460784.11472284497,0.9538590553206273,1.116831572417341,True,True,0.0,0.0,0.0,0.0,0.0,297.4666666666667,304.0,444872.6742300141,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:32:00,325.0,327.0,1830000.0,950000.0,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,3.0510343714494974,2.9031291526372263,True,True,0.0,0.0,0.0,0.0,0.0,302.0333333333333,304.0,448051.4430570343,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:33:00,336.25,330.25,1830000.0,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,0.9785066736293396,1.5436470515156284,True,True,0.0,0.0,0.0,0.0,0.0,296.5333333333333,304.0,443932.72930060874,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:33:00,321.0,278.0,1830000.0,1550000.0,303.0,0.75,0,436969.9954181494,451567.61529893876,438545.00444890035,438151.2521912126,0.08092119007823746,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.3,304.0,446291.2177136102,429755.6433147915,0.0,0.045,0.0
2024-07-27 10:33:00,328.5,328.0,1880000.0,1150000.0,304.0,0.75,0,451379.09561826853,463919.1210910371,463919.1210910371,460784.11472284497,0.9538590553206273,1.116831572417341,True,True,0.0,0.0,0.0,0.0,0.0,297.6,304.0,444166.46927135834,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:33:00,325.0,327.0,1830000.0,950000.0,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,3.0510343714494974,2.9031291526372263,True,True,0.0,0.0,0.0,0.0,0.0,302.0333333333333,304.0,448051.4430570343,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:35:00,335.0,329.0,1880000.0,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.0966416241869863,2.1156517025579875,True,True,0.0,0.0,0.0,0.0,0.0,296.65,304.0,444050.38750476815,429755.6433147915,0.0,0.0,0.0
